"","age_group","education_recode","sex_label","Westminster.Parliamentary.constituencies.Code","total_observations","avg_predicted_turnout_prob","avg_con","avg_lab","avg_lib","avg_other","scale_factor_con","scale_factor_lab","scale_factor_lib","scale_factor_other","scaled_est_votes_con","scaled_est_votes_lab","scaled_est_votes_lib","scaled_est_votes_other"
"90","Aged 75 years and over","No/Low Qualifications","Male","E14000532",1703,0.884141170233488,0.66098,0.15003,0.0905375,0.0984525,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,982,240,92,34
"91","Aged 75 years and over","Intermediate Qualifications","Female","E14000532",5177,0.932649219798487,0.504,0.232726744186047,0.158447674418605,0.104825581395349,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,2402,1192,514,117
"92","Aged 75 years and over","Intermediate Qualifications","Male","E14000532",6140,0.944739497088371,0.553436170212766,0.173547872340426,0.176808510638298,0.0962074468085106,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,3169,1068,688,129
"93","Aged 75 years and over","Advanced/Higher Education","Female","E14000532",636,0.942179048997025,0.516488372093023,0.243372093023256,0.143593023255814,0.096546511627907,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,306,155,58,13
"94","Aged 75 years and over","Advanced/Higher Education","Male","E14000532",224,0.938747664418402,0.574091772151899,0.181857594936709,0.148496835443038,0.0955537974683544,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,119,41,21,5
"95","Aged 75 years and over","Other/Not Categorized","Female","E14000532",1303,0.920863205956858,0.57496511627907,0.160232558139535,0.149098837209302,0.115703488372093,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,681,204,120,32
"96","Aged 75 years and over","Other/Not Categorized","Male","E14000532",529,0.931479934453964,0.58068,0.13158,0.15607,0.13167,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,282,69,52,15
"97","Aged 20 to 39 years","No/Low Qualifications","Female","E14000533",790,0.497131812132218,0.297177272727273,0.477418181818182,0.0532,0.172204545454545,1.12085536820728,0.695272627660104,0.358340566548215,0.152940983253356,131,130,7,10
"98","Aged 20 to 39 years","No/Low Qualifications","Male","E14000533",1060,0.720064207549919,0.346170588235294,0.404432352941176,0.0751411764705882,0.174255882352941,1.12085536820728,0.695272627660104,0.358340566548215,0.152940983253356,296,215,21,20
"99","Aged 20 to 39 years","Intermediate Qualifications","Female","E14000533",9007,0.760181316887431,0.227132716049383,0.497472222222222,0.112260802469136,0.163134259259259,1.12085536820728,0.695272627660104,0.358340566548215,0.152940983253356,1743,2368,275,171
"100","Aged 20 to 39 years","Intermediate Qualifications","Male","E14000533",7974,0.843580019214879,0.257627717391304,0.433054347826087,0.141222826086957,0.168095108695652,1.12085536820728,0.695272627660104,0.358340566548215,0.152940983253356,1942,2025,340,173
